,StartDate,EndDate,ResponseId,MTurkID,X1.lk_1,X1.lk_2,X1.prior_1,X1.prior_3,X1.post_1,X1.post_2,X2.prior_1,X2.prior_3,X2.post_1,X2.post_2,X2.lk_1,X2.lk_2,X7.lk_1,X7.lk_2,X7.prior_1,X7.prior_3,X7.post_1,X7.post_2,X8.prior_1,X8.prior_3,X8.post_1,X8.post_2,X8.lk_1,X8.lk_2,X13.lk_1,X13.lk_2,X13.prior_1,X13.prior_3,X13.post_1,X13.post_2,X14.prior_1,X14.prior_3,X14.post_1,X14.post_2,X14.lk_1,X14.lk_2,X19.lk_1,X19.lk_2,X19.prior_1,X19.prior_3,X19.post_1,X19.post_2,X20.prior_1,X20.prior_3,X20.post_1,X20.post_2,X20.lk_1,X20.lk_2,c1.self,c1.intel,c1.acc,c1.fair,c1.just,c1.free,c2.self,c2.intel,c2.acc,c2.fair,c2.just,c2.free,gender,educ,bmonth,byear,politicalid,lookup,comments,condition,attr.cond
11,6/4/17 13:15,6/4/17 13:18,R_3lKSoN2AxCgI8kH,test,,,,,,,,,,,,,99,98,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,test,,,,,,,,,,,,,,7,1
12,6/4/17 13:27,6/4/17 13:28,R_3qQeY4B7ZUriqcj,,,,,,,,,,,,,,,,,,,,,,,,,,86,32,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1
13,6/4/17 14:44,6/4/17 14:45,R_xxgG1zp1QpL7wvT,test,,,,,,,,,,,,,34,78,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,7,7,test,,,,,,,,7,2
14,6/4/17 14:52,6/4/17 14:59,R_1N9Ab5WZdQCOtd4,A06711361DP1JL158BWS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,10,90,100,30,,,,,,,,,,,,,2,5,4,5,2,"They believe there are more men doctors than females, which could be true.  I think it's about even these days.  I really have no impression of person X, I do not believe they are sexist though.",,,,,,,1,5,1,1988,4,1,"Everything works, thanks.",14,1
15,6/4/17 14:52,6/4/17 14:59,R_296uvGmRVdTsIij,A36Y8EDN1D5SE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,60,90,10,90,19,,,,,,,2,3,4,3,3,"Sexist, right-leaning",2,7,4,1992,5,2,,20,2
16,6/4/17 14:51,6/4/17 14:59,R_3spNuG5N0MyqTPI,A27CTOSCYAGCHV,,,,,,,,,,,,,,,,,,,70,30,90,10,94,55,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,3,4,That they are making an educated guess.,,,,,,,1,8,7,1993,5,1,,8,1
17,6/4/17 14:51,6/4/17 14:59,R_BE88EsBqjFxUDYZ,A3HV14IJLMO25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,10,90,100,0,,,,,,,,,,,,,2,1,2,2,3,I feel as this person is not just to assume that the woman is less likely to be a doctor than the man. I do not think this individual is very intelligent and is most likely sexist. ,1,5,2,1995,5,1,,19,2
18,6/4/17 14:53,6/4/17 14:59,R_3JrQpZ9ag6Z7a41,A3VPD34C23PQTQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,25,75,81,10,,,,,,,2,5,6,5,3,They are both good people whomh lompeople ,1,7,1,1984,2,1,,20,2
19,6/4/17 14:53,6/4/17 14:59,R_r2UH4HimLRdpmQV,A2JHF7CU91EVXW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,54,20,80,95,5,,,,,,,,,,,,,2,4,6,4,4,"I have no impression of Person X, as I would need to know the comments in context.",,,,,,,1,7,3,1975,6,1,I have no additional comments at this time.,14,1
20,6/4/17 14:51,6/4/17 15:00,R_2ByblxrumYEBSQ7,A1GRPIBHW72HDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,60,40,100,5,,,,,,,2,4,4,3,3,"I think this person tends to believe that men dominate the field of surgery, they probably think that men are dominant in many other aspects of life as well.",1,6,6,1989,5,1,,20,2
21,6/4/17 14:53,6/4/17 15:00,R_1MQ9mMsy9I3l4Zt,A1O1FEM012YZLV,,,,,,,80,20,89,11,97,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,3,I would assume person x is an older person. they tend to be more stuck on gender specific roles,2,6,6,1986,5,1,,2,2
22,6/4/17 14:53,6/4/17 15:00,R_xmdBFbzhLIeyrGF,A1CNZWIPBBXLJ,,,,,,,85,15,95,5,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,3,4,"I think that, while the statement is slightly sexist, in today's society, it is true.",2,5,1,1998,7,1,"Interesting concept, good luck with your research!",2,2
23,6/4/17 14:52,6/4/17 15:00,R_cZJLsRlNt6S1yXD,A2GBMI8H448O2N,,,,,,,,,,,,,,,,,,,,,,,,,100,32,25,75,25,75,,,,,,,,,,,,,,,,,,,2,2,2,2,2,They like to assume,,,,,,,2,6,8,1981,4,1,,13,1
24,6/4/17 14:53,6/4/17 15:01,R_3nBjiU3CptuMSLy,AM0KM5UC3L4NU,,,,,,,,,,,,,,,,,,,78,22,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,Person X sounds like a sexist,,,,,,,1,7,11,1988,6,1,no,8,1
25,6/4/17 14:51,6/4/17 15:01,R_1gRVWBpnXHyEaJX,A35D0B238HFOCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,5,95,99,1,,,,,,,,,,,,,2,2,1,2,2,This person assumes that someone other than a doctor is licensed to perform surgery.  I don't think that this person is very smart if they think that would be allowed in a hospital.  ,2,7,12,1980,2,1,no,19,2
26,6/4/17 14:53,6/4/17 15:01,R_2eWq8XPT6ESQbaR,A35TBUQNEMNPL6,,,,,,,,,,,,,100,2,80,20,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,1,That he's a biased man,,,,,,,,7,4,1975,6,1,Very interesting!,7,1
27,6/4/17 14:52,6/4/17 15:01,R_YQwA8i3xGOFxgjL,A2NZ4U7L5TG9X4,,,,,,,,,,,,,100,100,70,30,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,I think that person is sexist and that was just a sexist remark,2,5,4,1984,6,1,"I thought it was a very interesting survey, especially the trivia",7,2
28,6/4/17 14:54,6/4/17 15:02,R_C4i7eFcJROjoZmp,ALTVKQOXTXL48,,,,,,,,,,,,,,,,,,,70,30,30,70,100,25,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,"This person is close minded, if someone performs a surgery they would be a Medical Doctor regardless of gender.",,,,,,,1,7,6,1977,3,1,,8,1
29,6/4/17 14:51,6/4/17 15:02,R_237Es4BIGOHRvNk,A31BO9NWS3PW78,,,,,,,90,10,95,5,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,6,5,Person X is making an educated guess based on historical empirical evidence.,1,7,11,1989,6,1,No,2,2
30,6/4/17 14:51,6/4/17 15:02,R_2qwxU2hzlSDSrda,A39RZHJGA57EP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,25,75,100,0,,,,,,,2,4,4,3,5,His is influenced by gender norms and stereotypes.,,,,,,,2,7,12,1989,6,1,,19,1
31,6/4/17 14:53,6/4/17 15:02,R_2uwFK189XhpSq8Z,A1NZ34BEIROCR8,,,,,,,,,,,,,,,,,,,80,20,40,60,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,Person X is maybe a tad sexist,2,6,5,1996,5,2,Very interesting survey!,8,2
32,6/4/17 14:51,6/4/17 15:02,R_1FgqUxOFZzYsZWb,A2DDYI18M0BJEJ,,,,,,,,,,,,,,,,,,,,,,,,,100,0,40,60,0,100,,,,,,,,,,,,,,,,,,,2,2,2,2,2,He has a bias against women working as doctors.,,,,,,,1,7,11,1982,3,1,No.,13,1
33,6/4/17 14:55,6/4/17 15:02,R_2ZUIjJT7U8mCxZf,A3636YIHPE94SC,,,,,,,50,50,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,That is a silly assumption ,,,,,,,2,5,5,1984,7,1,Loved the trivia ,2,1
34,6/4/17 14:53,6/4/17 15:02,R_3qUvVlJQ3FffRUh,A15FMVAKY5RFYT,,,,,,,,,,,,,100,10,90,10,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,3,3,I think he was raised in traditional way. Person X thinks women are less capable then men. That jobs like doctor should be more for men.,2,9,1,1983,5,1,No.,7,2
35,6/4/17 14:51,6/4/17 15:03,R_1Nbkx1S5R8pSehb,A3QL8ZAD9BKWUF,,,,,,,,,,,,,,,,,,,80,20,20,80,43,58,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,4,I think he's just going with the general sensus.,,,,,,,1,6,11,1996,4,1,,8,1
36,6/4/17 14:52,6/4/17 15:03,R_3iW1S3baxL3YRwf,ABUXM7VAW5SKJ,,,,,,,,,,,,,,,,,,,85,15,35,65,99,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,3,3,"This person may be a little prejudiced against females, and they believe in stereotypes. They are a realist though and there thought process is natural.",1,6,9,1978,2,1,Thank you! I enjoyed the study with no problems.,8,2
37,6/4/17 14:56,6/4/17 15:03,R_32Q10oj6tgXLgG4,A142HGTX0JO7YH,,,,,,,,,,,,,100,0,70,30,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,3,3,"They probably believe that doctors are predominantly male, and that's why they made their statement.  ",1,8,9,1994,2,1,None. ,7,2
38,6/4/17 14:52,6/4/17 15:03,R_A5NyEUjujmR2pnr,A3PF6B0VMBLTGJ,,,,,,,,,,,,,,,,,,,,,,,,,100,0,35,65,0,100,,,,,,,,,,,,,,,,,,,2,3,3,4,4,Easily influenced by stereotypes,,,,,,,1,6,7,1994,5,1,,13,1
39,6/4/17 14:55,6/4/17 15:03,R_UQmHGZOVYrdOJy1,A2U168YW4BPLJF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,70,25,75,100,10,,,,,,,,,,,,,2,3,2,2,4,Person X isn't really thinking about the sentence he heard. ,,,,,,,2,13,1,1972,6,1,,14,1
40,6/4/17 14:54,6/4/17 15:03,R_cXULY2MgvyKloKl,A9JWRT0KGYGM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,100,0,100,0,3,5,3,5,6,The person is logical based on person expiereneces,,,,,,,1,5,12,1997,1,1,no,20,1
