StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,X1.prior_1,X1.prior_2,X1.post_1,X1.post_2,X1.lk_1_1,X1.lk_2_1,c1.self,Q34_4,Q35_1,Q36_1,Q36_4,Q36_5,Q36_6,Q36_7,Q37_1,Q37_4,Q37_5,Q37_6,Q37_7,Q38_1,Q38_4,Q39_1,Q39_4,Q40_1,Q40_4,Q41_1,Q41_4,Q42_1,Q42_4,Q43_1,Q43_6,Q43_7,Q43_8,Q43_9,Q44_1,Q44_6,Q44_7,Q44_8,Q44_9,Q45_1,Q45_4,Q45_5,Q45_6,Q45_7,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q57,Q58,Q59,Q60,Q61,c1.intel,c1.acc,c1.fair,c1.just,c1.free,X2.prior_1,X2.prior_2,X2.post_1,X2.post_2,X2.lk_1_1,X2.lk_2_1,c2.self,c2.intel,c2.acc,c2.fair,c2.just,c2.free,attn,lookup,age,gender,gender_4_TEXT,education,fback
11/17/20 16:49,11/17/20 16:56,0,100,441,1,11/17/20 16:56,R_D7zijcYeZxLHSwx,anonymous,EN,,,,,,,,30,20,93,5,1,1,0,97,3,0,0,0,96,4,81,19,90,10,82,18,90,10,3,2,1,4,5,1,2,3,4,5,5,4,3,1,2,6,5,6,5,3,5,6,7,1,2,2,Fat you gain during emotional eating. ,mars and murrie the original owners of the candy company,,,,,,91,9,0,100,11,10,1,1,1,1,1,He is very prejudiced toward women. ,7,2,52,1,,22,none
11/17/20 16:50,11/17/20 16:57,0,100,419,1,11/17/20 16:57,R_3PM61bqY76Q5ISO,anonymous,EN,90,10,100,0,100,0,1,30,30,19,14,34,15,18,29,46,7,0,18,75,25,90,10,75,25,85,15,25,75,3,2,1,4,5,3,1,2,4,5,5,4,1,2,3,4,4,5,4,5,7,4,7,1,2,2,grief bacon,matt and murrie,1,1,1,1,"they are sexist, unless the scenario is about rogue criminals performing surgery both the man and the woman are equally likely to be doctors.",,,,,,,,,,,,,7,2,34,1,,19,
11/17/20 17:07,11/17/20 17:12,0,100,318,1,11/17/20 17:12,R_SZV29d718Ov4l0d,anonymous,EN,50,50,91,9,95,1,1,29,21,26,24,23,21,6,33,25,26,0,16,64,36,61,39,66,34,77,23,33,67,5,2,1,3,4,3,1,2,4,5,4,3,1,2,5,2,2,2,2,2,2,2,2,1,2,3,bacon vomit,mars and mars,6,6,6,6,I think that this statement is a good statement and Person X is a good person.,,,,,,,,,,,,,7,2,26,1,,22,
11/17/20 17:13,11/17/20 17:25,0,100,692,1,11/17/20 17:25,R_xuq60ezmL5GRcpr,anonymous,EN,,,,,,,,50,30,50,14,33,3,0,50,7,28,15,0,80,20,89,11,80,20,93,7,30,70,3,2,1,4,5,1,2,3,4,5,5,4,3,1,2,6,5,5,6,5,5,6,7,1,2,2,grief bacon,Mars & Murrie,,,,,,95,5,8,92,100,5,1,2,2,1,1,I believe he is discounting women and is a bit sexist,7,2,33,1,,22,none
11/17/20 16:33,11/17/20 17:27,0,100,3209,1,11/17/20 17:27,R_1LwbjSRhlX44POh,anonymous,EN,70,30,80,20,31,20,2,70,60,5,20,50,25,0,40,10,30,20,0,70,30,80,20,70,30,60,40,40,60,3,4,5,2,1,1,2,3,4,5,3,1,2,4,5,7,4,6,5,5,6,7,6,1,2,3,don't remember,don't remember,6,6,6,4,I think that the statement that Person X made is very probable.,,,,,,,,,,,,,7,2,34,2,,23,
11/17/20 16:37,11/17/20 17:46,0,100,4163,1,11/17/20 17:46,R_R2H9rd2Zp8q2eAN,anonymous,EN,,,,,,,,65,75,27,20,26,18,9,22,31,29,11,7,82,18,83,17,71,29,90,10,35,65,4,5,2,3,1,2,3,5,1,4,5,4,3,2,1,6,6,6,,7,,6,6,1,4,2,excess weight,Mars & Murrie,,,,,,86,14,97,3,58,63,1,3,3,3,3,negative impression,7,2,29,1,,23,
11/17/20 17:47,11/17/20 17:54,0,100,412,1,11/17/20 17:54,R_50IUim9YrBqyAlr,anonymous,EN,,,,,,,,37,69,36,18,40,6,0,57,11,27,5,0,30,70,82,18,24,76,64,36,41,59,4,2,1,3,5,4,2,1,3,5,5,2,1,3,4,7,7,7,6,5,7,7,7,1,2,2,Excessive weight gain,Mars and Marty ,,,,,,51,49,58,42,100,100,1,3,3,1,1,He is sexist ,7,2,47,2,,22,
11/17/20 17:57,11/17/20 18:02,0,100,337,1,11/17/20 18:02,R_1MQjGTLXM2FwxtU,anonymous,EN,43,57,28,72,74,62,1,28,23,27,23,21,23,6,37,24,15,12,12,68,32,54,46,60,40,56,44,65,35,1,2,5,4,3,2,3,1,4,5,1,5,2,3,4,4,7,7,7,6,7,7,5,1,3,1,fat gained by over eating when stressed,mars and mars,6,7,5,7,They are sexist,,,,,,,,,,,,,7,2,36,1,,22,
11/17/20 18:23,11/17/20 18:32,0,100,571,1,11/17/20 18:32,R_2SHMya3SOSUGmNO,anonymous,EN,95,5,97,3,100,100,2,60,40,40,25,20,10,5,50,20,15,10,5,70,30,80,20,60,40,70,30,29,71,4,2,1,3,5,4,2,1,3,5,5,2,1,3,4,6,6,5,4,7,7,5,7,1,2,2,excess weight gained from emotional overeating,the founder's name,1,4,4,4,Person X is too subjective.,,,,,,,,,,,,,7,2,44,1,,24,
11/17/20 18:24,11/17/20 18:33,0,100,590,1,11/17/20 18:33,R_1n9rURRcLXeFLVg,anonymous,EN,,,,,,,,30,15,31,26,30,3,10,28,23,32,6,11,70,30,80,20,70,30,80,20,29,71,3,2,1,4,5,2,1,3,4,5,4,2,1,3,5,5,6,5,1,2,5,1,6,1,2,2,grief bacon,Mars and murrie,,,,,,95,5,0,100,100,1,1,3,2,2,3,I'm neutral about the person who made that comment. There is always some truth behind every stereotype.,7,2,32,1,,23,
11/17/20 18:12,11/17/20 18:36,0,100,1433,1,11/17/20 18:36,R_2OPe0mXIs7KVQtx,anonymous,EN,42,58,60,40,86,84,2,0,83,80,13,4,3,0,30,9,36,25,0,37,63,60,40,29,71,50,50,49,51,3,1,2,5,4,2,1,5,3,4,3,1,4,2,5,5,5,2,5,5,6,3,6,1,2,2,emotional eating fat,mars & murrie,5,3,5,5,"smart person, they're right",,,,,,,,,,,,,7,2,25,1,,22,
11/17/20 18:23,11/17/20 18:37,0,100,840,1,11/17/20 18:37,R_2EyMPt7lxROrjUB,anonymous,EN,,,,,,,,60,20,29,12,51,6,2,33,20,43,1,3,60,40,63,37,60,40,70,30,60,40,1,2,3,4,5,1,2,3,4,5,3,4,1,2,5,7,7,7,7,7,7,7,7,1,2,3,It means the excess fat that one gains from emotional eating ,Mars & Murrie,,,,,,70,30,50,50,40,0,1,4,3,2,2,Person X seems to be prejudiced against women,7,2,45,1,,21,
11/17/20 19:31,11/17/20 19:44,0,100,754,1,11/17/20 19:44,R_1OV3uuroPv3lLB4,anonymous,EN,,,,,,,,50,20,40,5,54,1,0,81,8,0,0,11,70,30,91,9,80,20,90,10,42,58,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,7,7,7,7,7,7,7,7,1,2,2,grief bacon,mars & marius,,,,,,99,1,50,50,100,0,1,7,7,4,4,I honestly agree with the person I think that they are smart.,7,2,28,1,,19,
11/17/20 20:06,11/17/20 20:25,0,100,1159,1,11/17/20 20:25,R_1qaY6uZaMUmqIvP,anonymous,EN,85,15,100,0,100,0,1,40,40,85,5,5,5,0,85,5,5,5,0,60,40,80,20,60,40,90,10,30,70,4,2,1,3,5,4,2,1,3,5,5,3,2,1,4,7,6,7,7,7,7,6,7,1,2,2,Grief Bacon,Mars and Murries,1,1,4,4,I'm unclear how Person X arrived at this.  I'm not sure that Person X is in touch with reality.,,,,,,,,,,,,,7,2,44,1,,22,Today I learned about grief bacon.  I am absolutely fascinated by grief bacon.  Trust me when I say that grief bacon will be the topic of discussion during Thanksgiving dinner.   Stanford is the best.
11/17/20 22:42,11/17/20 22:45,0,100,190,1,11/17/20 22:45,R_8dmjSBHAOqDmPM5,anonymous,EN,77,23,61,39,20,15,1,39,21,57,8,19,5,11,47,27,23,1,2,69,31,32,68,26,74,64,36,31,69,1,3,5,4,2,4,1,2,5,3,4,1,3,2,5,5,4,3,5,5,6,5,4,1,2,1,I do not remember,Marie and Murrits?,5,3,3,5,They are sexist and not biased,,,,,,,,,,,,,7,2,28,1,,19,
11/18/20 2:05,11/18/20 2:11,0,100,327,1,11/18/20 2:11,R_22Voomoarv0ycgd,anonymous,EN,,,,,,,,50,20,63,19,9,7,2,72,14,8,5,1,85,15,98,2,80,20,98,2,42,58,4,3,2,1,5,3,1,2,4,5,5,4,3,2,1,7,1,6,3,6,5,5,6,1,2,1,Grief bacon,Mars and maries,,,,,,73,27,26,74,100,20,1,3,1,2,2,He may be sexist,7,2,26,1,,20,
11/18/20 4:35,11/18/20 4:45,0,100,585,1,11/18/20 4:45,R_2yekMQSFWKNeHMI,anonymous,EN,95,5,99,1,90,4,1,10,16,45,35,15,3,2,44,33,11,9,3,80,20,80,20,80,20,90,10,25,75,3,4,5,1,2,3,4,5,1,2,5,4,3,1,2,6,7,5,2,2,5,1,6,1,2,2,grief bacon,mars & murray's,2,1,6,6,"There are way more male doctors, and until recently it was almost exclusively men, so it's understandable, and I'm not going to be sexism-baited with the question",,,,,,,,,,,,,7,2,34,1,,19,
